年度,美國,加拿大,英國,法國,德國,日本,韓國,澳大利亞,其他國家
2013,14563,1771,3367,955,787,3140,860,2553,3196
2014,14135,1109,3826,1064,901,3885,1097,5237,3371
2015,14547,1271,3408,1100,1252,4703,1067,6651,4167
2016,14332,2282,3272,1132,1433,5062,1275,6493,4572
2017,13887,2860,3484,1152,1569,5422,1388,5806,4441
2018,13000,3170,3686,1250,1620,5589,1558,6454,4763
2019,12718,3480,3805,1200,1645,5603,2055,6056,4997
2020,4070,2165,1927,450,629,2185,917,5157,2426
2021,8314,2250,2995,629,840,240,846,3016,2175
2022,8935,2625,3297,1098,1333,4984,1488,5254,2770
