Seq,DateListed,身分,區域別,性別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
1,20210830,不分平地山地,新北市,男,26661,16169,3361,2128,1744,250,627,89,226,43,20,147,919,37,145,8,0,748
2,20210830,不分平地山地,新北市,女,31000,17827,4360,2555,2087,322,766,146,339,61,26,157,1286,20,201,6,0,841
61,20210830,不分平地山地,臺北市,男,7256,3546,1233,758,462,108,227,65,89,18,7,23,375,12,94,0,1,238
62,20210830,不分平地山地,臺北市,女,9788,4506,1774,976,654,142,281,106,104,35,17,23,571,19,155,1,1,423
87,20210830,不分平地山地,桃園市,男,37509,18319,10362,2907,2104,250,619,101,514,50,15,99,1189,80,229,0,2,669
88,20210830,不分平地山地,桃園市,女,40999,19137,11399,3480,2740,292,657,118,645,84,20,82,1334,57,303,1,4,646
115,20210830,不分平地山地,臺中市,男,16673,5224,4368,3175,2053,201,350,115,100,37,69,18,333,8,424,6,8,184
116,20210830,不分平地山地,臺中市,女,19573,5654,5088,3705,2754,247,428,175,128,58,102,37,445,6,516,8,15,207
175,20210830,不分平地山地,臺南市,男,3621,1157,288,1117,500,96,162,47,13,10,6,7,129,4,33,3,2,47
176,20210830,不分平地山地,臺南市,女,4945,1570,428,1479,686,142,214,61,21,9,10,8,188,4,51,1,4,69
251,20210830,不分平地山地,高雄市,男,16932,4784,621,4114,4609,1300,393,251,26,21,8,17,332,5,69,179,170,33
252,20210830,不分平地山地,高雄市,女,19119,5450,862,5148,4619,1354,464,322,49,25,10,19,345,7,111,165,143,26
331,20210830,不分平地山地,宜蘭縣,男,8683,1043,6844,129,115,30,46,14,13,2,2,8,211,6,19,1,1,199
332,20210830,不分平地山地,宜蘭縣,女,9094,1318,6654,228,214,28,69,16,23,4,2,9,322,2,28,0,1,176
357,20210830,不分平地山地,新竹縣,男,10824,922,8261,265,165,39,72,18,783,11,5,3,101,5,37,0,0,137
358,20210830,不分平地山地,新竹縣,女,11207,1133,8103,369,290,33,79,28,798,12,4,5,173,7,51,0,1,121
385,20210830,不分平地山地,苗栗縣,男,5551,646,3118,188,146,13,44,5,1234,9,4,5,60,0,28,2,0,49
386,20210830,不分平地山地,苗栗縣,女,5852,847,3115,248,247,15,57,19,1091,8,7,9,91,1,33,1,0,63
