"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",48.29,336.06,233.51,211.47,3.48,3.21,113.70,7.07,51.62,1.07,0.25,1.40,1.79,9.03,3.65,0.74,8.22,57.53,-0.30
"1102","亞泥",43.18,636.45,157.05,143.38,12.73,6.36,57.38,8.99,40.60,2.22,0.28,4.25,6.91,42.86,13.94,3.63,21.57,122.43,1.20
"1103","嘉泥",39.58,680.24,302.94,294.82,28.41,9.35,39.03,8.80,41.47,0.44,0.06,-0.10,-0.73,-1.57,-7.72,-0.28,0.00,5.55,0.00
"1104","環泥",22.59,291.48,118.88,109.97,58.19,3.84,95.05,16.44,22.20,0.95,0.26,8.39,10.67,36.46,30.94,3.12,21.32,94.90,0.12
"1108","幸福",49.23,204.18,169.69,45.15,16.62,4.79,76.20,0.82,445.12,1.37,0.43,6.96,12.17,17.00,14.01,1.44,18.48,53.27,2.58
"1109","信大",15.90,350.73,402.71,338.12,1142.10,4.27,85.48,5.36,68.09,2.32,0.55,4.47,5.31,29.10,8.10,1.17,91.70,306.13,8.55
"1110","東泥",27.22,552.20,104.41,53.00,708.98,5.01,72.85,1.80,202.77,1.29,0.16,1.07,1.24,1.92,6.03,0.26,-11.62,11.14,-8.45
"1201","味全",58.92,125.38,92.21,59.20,349.01,7.73,47.21,9.67,37.74,2.19,1.12,1.90,3.38,5.92,1.21,0.47,13.67,89.26,2.54
"1203","味王",34.25,270.94,243.06,136.55,66.70,13.34,27.36,2.57,142.02,2.18,0.65,9.22,13.86,46.70,13.92,2.63,9.35,76.29,-3.64
"1210","大成",53.65,158.27,98.25,49.25,7.21,14.12,25.84,8.82,41.38,5.88,1.90,5.43,10.06,38.29,2.52,2.59,7.68,70.28,4.41
"1213","大飲",65.43,127.98,63.03,51.35,-5.00,4.40,82.95,16.12,22.64,0.61,0.37,-6.02,-18.77,-13.39,-18.75,-1.34,4.54,-317.67,0.76
"1215","卜蜂",64.05,127.05,98.15,63.66,12.38,9.52,38.34,11.03,33.09,2.21,1.17,6.73,17.15,65.41,5.35,5.28,15.80,39.84,2.67
"1216","統一",65.14,242.23,111.67,80.79,1531.36,24.20,15.08,7.05,51.77,3.60,0.99,5.33,14.22,62.20,5.05,3.02,33.37,144.21,10.40
"1217","愛之味",45.34,413.68,89.51,51.93,3.54,6.88,53.05,3.80,96.05,1.96,0.34,2.77,4.30,6.13,5.99,0.56,4.49,103.60,-0.14
"1218","泰山",24.54,643.26,313.77,262.01,230.94,7.72,47.27,8.26,44.18,5.62,0.81,43.53,60.55,124.22,53.47,12.17,-7.09,8.12,-6.55
"1219","福壽",56.85,154.75,149.43,82.23,7.63,8.91,40.96,6.83,53.44,4.56,1.75,3.61,6.95,11.68,1.80,1.00,-6.22,18.58,-5.82
"1220","台榮",24.01,221.55,326.29,187.00,18.11,4.71,77.49,4.74,77.00,3.15,1.09,2.33,2.85,4.91,2.02,0.26,-18.29,63.88,-2.35
"1225","福懋油",59.20,171.45,144.06,82.44,8.68,7.61,47.96,7.12,51.26,4.68,1.65,4.22,8.99,19.28,2.27,1.69,-0.01,25.18,-4.89
"1227","佳格",36.08,428.54,200.45,127.07,27.00,5.41,67.46,3.97,91.93,6.71,1.03,4.60,6.85,17.61,4.30,1.34,19.54,107.10,0.56
"1229","聯華",23.57,1268.88,106.50,88.87,34.44,6.17,59.15,4.09,89.24,2.29,0.18,7.00,8.81,33.25,39.26,2.63,29.12,63.82,1.84
"1231","聯華食",50.83,166.09,156.82,96.95,30.21,4.97,73.44,5.84,62.50,2.49,1.09,9.13,17.89,48.89,8.09,3.89,26.44,62.34,4.61
"1232","大統益",28.71,677.66,335.93,133.27,174.70,19.83,18.40,7.28,50.13,29.46,3.43,17.71,24.79,99.79,5.14,7.66,17.91,67.15,-6.84
"1233","天仁",36.72,168.45,129.47,78.28,9.42,7.79,46.85,3.02,120.86,2.09,0.79,2.45,3.50,6.35,2.81,0.57,36.38,117.26,4.82
"1234","黑松",19.39,349.88,402.32,122.13,80.49,12.52,29.15,1.29,282.94,1.60,0.42,3.94,4.86,27.23,9.27,2.21,41.08,102.97,0.75
"1235","興泰",52.92,1244.99,22.28,22.12,9.00,0.47,776.59,19.91,18.33,0.37,0.02,4.59,6.37,15.61,268.45,1.31,-2.57,65.60,-5.87
"1236","宏亞",28.87,191.52,124.07,79.48,60.48,5.10,71.56,6.13,59.54,1.33,0.56,11.36,16.76,43.09,20.12,3.91,23.16,106.62,2.01
"1256","鮮活果汁-KY",12.26,218.50,482.13,371.50,474.03,12.59,28.99,6.17,59.15,2.31,0.86,9.81,11.44,186.18,11.33,11.92,62.17,104.51,-2.49
"1301","台塑",30.04,387.07,167.76,139.97,32.26,12.14,30.06,8.91,40.96,2.46,0.48,7.01,9.50,68.80,14.36,5.68,59.25,95.40,0.78
"1303","南亞",40.76,224.45,142.59,108.14,20.35,6.26,58.30,5.45,66.97,1.79,0.53,6.09,9.35,59.96,10.84,4.05,44.15,88.50,1.86
"1304","台聚",34.49,262.40,293.39,215.25,417.31,7.59,48.08,7.50,48.66,2.66,0.82,0.14,-0.11,5.86,-0.09,1.45,90.48,102.97,7.32
"1305","華夏",39.81,160.70,217.30,128.78,-18.29,10.18,35.85,5.99,60.93,2.19,1.05,-1.88,-3.09,-8.90,-1.91,-0.64,26.26,72.24,-3.28
"1307","三芳",44.92,235.96,234.71,175.03,11.54,8.11,45.00,3.95,92.40,2.12,0.71,3.42,5.83,14.96,4.37,1.18,40.81,72.84,4.49
"1308","亞聚",13.26,441.21,244.16,198.59,17729.43,7.88,46.31,11.70,31.19,2.91,0.56,8.23,9.75,30.62,14.75,2.44,233.71,212.23,9.26
"1309","台達化",22.02,402.02,442.35,355.31,8064.51,8.80,41.47,15.28,23.88,9.11,1.81,4.18,5.54,14.03,2.28,1.04,81.22,216.96,2.67
"1310","台苯",24.58,192.34,147.72,104.29,-49.22,13.58,26.87,18.89,19.32,3.43,1.41,-3.58,-4.71,-7.17,-2.58,-0.71,-0.47,79.36,-0.63
"1312","國喬",41.17,244.74,367.65,289.17,0.79,8.39,43.50,8.84,41.28,1.08,0.33,-0.71,-1.21,-0.17,-2.50,-0.56,45.49,89.07,0.24
"1313","聯成",48.36,225.36,140.03,64.78,-498.46,17.16,21.27,8.27,44.13,4.57,1.39,-1.97,-4.41,-12.71,-1.69,-0.94,4.74,50.03,-1.21
"1314","中石化",43.65,425.73,254.66,60.36,258.76,8.89,41.05,0.53,688.67,0.96,0.18,0.41,0.26,1.91,0.82,0.06,-36.32,-64.39,-9.02
"1315","達新",7.77,550.96,1168.92,960.87,336.93,6.05,60.33,2.87,127.17,1.43,0.22,5.87,6.40,79.39,26.64,7.41,77.35,32.75,0.40
"1316","上曜",54.92,381.00,167.17,34.94,2.04,12.50,29.20,0.27,1351.85,1.44,0.21,1.16,1.05,3.20,2.41,0.70,-10.56,-80.36,-8.48
"1319","東陽",27.65,146.49,144.95,96.48,29.21,5.54,65.88,5.33,68.48,1.15,0.63,6.20,8.75,43.96,9.57,3.64,81.16,131.99,12.15
"1321","大洋",49.75,316.43,183.69,122.57,0.57,9.27,39.37,7.32,49.86,1.93,0.55,-0.22,-0.68,-0.34,-0.66,-0.19,5.22,106.82,-0.72
"1323","永裕",48.22,208.78,411.32,313.44,15.80,4.39,83.14,4.26,85.68,1.60,0.66,5.48,10.33,38.26,7.76,2.05,105.90,93.31,6.76
"1324","地球",18.94,284.31,380.23,276.37,200.52,4.93,74.03,3.65,100.00,2.86,0.81,0.40,0.50,1.70,0.49,0.06,38.75,49.84,3.59
"1325","恆大",4.20,251.32,2548.37,2364.16,146607.14,6.72,54.31,3.46,105.49,0.47,0.18,0.44,0.46,2.41,2.44,0.19,113.71,133.75,-1.99
"1326","台化",32.79,302.82,192.14,144.05,5.67,11.29,32.32,7.68,47.52,2.65,0.68,1.84,2.25,16.36,2.43,1.26,16.78,103.58,2.09
"1337","再生-KY",3.43,394.16,2502.45,2380.30,0.00,5.55,65.76,6.91,52.82,0.42,0.12,-9.02,-9.36,-9.75,-74.10,-1.77,-296.73,-246.31,-4.22
"1338","廣華-KY",39.19,211.53,215.20,174.05,3.62,2.95,123.72,4.55,80.21,1.86,0.66,1.67,1.96,24.97,1.78,1.63,36.81,73.47,7.01
"1339","昭輝",31.10,148.79,187.26,148.96,20.11,3.45,105.79,3.88,94.07,0.70,0.38,7.97,10.89,71.13,19.84,5.51,67.27,165.90,7.90
"1340","勝悅-KY",2.94,231.94,1563.94,1410.69,"NA",3.88,94.07,32.12,11.36,0.25,0.10,-8.29,-8.55,-27.73,-88.32,-2.81,-320.27,"NA",-7.46
"1341","富林-KY",50.71,187.89,142.87,78.88,20.38,5.77,63.25,2.98,122.48,4.50,1.26,13.11,24.20,74.62,9.86,5.95,40.54,67.74,1.14
"1342","八貫",32.81,239.65,353.75,206.56,143.55,6.84,53.36,2.37,154.00,2.79,0.96,18.73,28.05,87.35,19.29,7.34,113.67,80.26,13.69
"1402","遠東新",58.70,229.27,102.33,65.75,6.13,9.03,40.42,4.16,87.74,1.53,0.40,2.58,3.93,32.04,5.05,1.63,24.34,85.11,8.97
"1409","新纖",74.65,328.69,102.04,96.23,5.55,1.56,233.97,5.16,70.73,1.96,0.22,2.35,7.84,29.00,9.08,1.75,2.16,60.51,0.23
"1410","南染",16.24,625.22,1222.08,1152.02,1471.53,7.57,48.21,6.78,53.83,1.96,0.28,4.00,4.80,10.97,14.14,0.90,215.51,96.00,1.31
"1413","宏洲",53.93,187.03,136.76,39.24,7.84,23.19,15.73,5.24,69.65,2.79,1.18,4.02,8.34,6.40,3.15,0.75,17.04,59.62,1.46
"1414","東和",30.45,245.69,167.27,91.30,19.84,18.96,19.25,1.01,361.38,0.45,0.15,2.42,3.30,5.66,15.15,0.47,20.62,95.67,0.44
"1416","廣豐",18.17,11858.72,1094.73,438.40,11.15,7.18,50.83,0.28,1303.57,4.09,0.05,2.50,2.74,5.77,38.59,0.51,168.86,19.37,1.72
"1417","嘉裕",39.87,336.43,180.21,134.14,-304.64,4.29,85.08,1.15,317.39,1.75,0.35,2.73,3.94,-2.55,7.03,0.56,0.00,0.00,0.00
"1418","東華",68.36,285.33,22.60,21.84,1.47,"NA","NA",0.29,1258.62,0.03,0.00,1.53,1.78,3.72,105.08,0.40,-5.40,-526.91,40.29
"1419","新紡",29.68,2047.56,133.87,104.30,63.12,8.59,42.49,2.21,165.15,6.39,0.20,12.79,19.04,75.44,61.83,6.92,7.45,7.59,-0.13
"1423","利華",8.33,1003.50,2804.63,1964.69,1981.02,26.70,13.67,0.54,675.92,0.53,0.05,2.17,2.38,6.15,41.68,0.53,954.11,312.52,8.14
"1432","大魯閣",85.08,166.13,79.49,52.56,0.39,24.01,15.20,2.45,148.97,1.80,0.23,0.19,-4.93,-3.93,-3.34,-0.35,29.50,190.94,27.14
"1434","福懋",26.05,579.18,231.05,116.36,18.36,10.18,35.85,3.55,102.81,3.01,0.44,4.56,5.77,22.00,9.81,2.02,41.98,82.46,2.03
"1435","中福",17.23,1265.26,3140.59,3109.91,-4054.12,8.60,42.44,0.07,5214.28,0.15,0.01,-23.39,-27.30,-21.47,-2291.20,-2.15,0.00,4.83,0.00
"1436","華友聯",74.87,13140.67,127.59,17.30,523.24,2014.69,0.18,0.28,1303.57,109.95,0.29,5.24,20.02,82.12,16.01,6.54,19.41,-28.84,26.47
"1437","勤益控",43.50,425725.33,215.09,205.93,8.14,49.17,7.42,2.28,160.08,392.30,0.06,3.74,5.85,23.02,50.72,2.00,34.09,76.83,7.87
"1438","三地開發",75.66,34261.57,206.32,52.71,747.32,"NA","NA",4.83,75.56,2473.98,8.81,5.53,23.91,41.69,62.75,5.17,2.28,89.94,2.13
"1439","雋揚",41.63,1685631.14,184.56,45.15,14.89,68.15,5.35,0.25,1460.00,3176.34,0.12,3.15,4.68,17.61,25.18,1.56,-41.68,34.13,-28.90
"1440","南紡",44.37,192.36,135.47,75.84,7.87,13.33,27.38,3.21,113.70,0.98,0.43,2.71,4.26,8.54,5.42,0.70,25.56,65.45,2.50
"1441","大東",72.63,101.22,64.69,24.06,-712.00,16.56,22.04,3.43,106.41,1.73,0.65,-11.76,-42.31,-28.21,-20.14,-2.52,-18.90,-145.91,-21.08
"1442","名軒",63.46,61877.14,968.25,103.78,103.42,3.99,91.47,0.09,4055.55,82.74,0.13,4.24,10.84,19.63,32.17,1.76,-101.16,-79.29,-2.95
"1443","立益物流",79.43,84.05,37.71,33.96,255.17,4.20,86.90,8.64,42.24,0.15,0.13,3.64,11.36,10.82,16.87,1.67,20.61,17.33,6.61
"1444","力麗",36.18,189.37,122.72,48.32,9.88,12.30,29.67,3.65,100.00,1.71,0.61,2.62,3.89,6.17,3.82,0.51,26.06,44.66,4.33
"1445","大宇",23.36,203.29,281.37,164.68,-5.49,7.04,51.84,3.54,103.10,1.88,0.71,0.57,0.67,-0.47,0.73,0.08,40.08,331.63,3.84
"1446","宏和",69.20,435428.13,874.86,64.85,"NA",9.82,37.16,11.34,32.18,161.02,0.03,-0.57,-2.54,-1.60,-24.28,-0.27,-74.61,-87.70,-9.75
"1447","力鵬",47.74,224.29,126.87,79.09,0.55,10.30,35.43,8.73,41.80,5.14,1.44,0.22,-0.17,-0.37,-0.06,-0.04,11.60,87.15,3.32
"1449","佳和",74.21,1027.33,134.67,44.27,2.28,17.37,21.01,1.05,347.61,6.99,0.40,2.75,6.47,14.48,3.97,1.09,5.32,-4.44,4.49
"1451","年興",17.05,583.22,561.87,304.54,42.94,4.90,74.48,3.15,115.87,6.17,0.95,4.79,5.68,25.49,4.92,2.15,16.91,23.77,0.00
"1452","宏益",7.07,515.52,1336.21,1182.80,4895.39,6.36,57.38,5.60,65.17,3.26,0.60,4.21,4.64,12.18,7.05,0.97,435.02,159.46,10.43
"1453","大將",24.80,1493.29,476.85,180.71,0.00,"*****","*****",0.21,1738.09,2.48,0.13,-0.55,-0.88,-0.87,-4.94,-0.12,-7.32,-107.13,-1.65
"1454","台富",21.73,205.87,253.77,121.28,"NA",12.10,30.16,2.30,158.69,2.26,0.88,1.62,2.00,3.68,1.79,0.26,31.59,1.47,2.45
"1455","集盛",28.24,151.20,149.63,67.31,-12.81,7.65,47.71,4.10,89.02,2.01,0.93,-2.66,-4.05,-5.38,-3.03,-0.53,41.28,106.26,3.04
"1456","怡華",85.88,6481.96,121.44,5.10,64.25,10.19,35.81,0.07,5214.28,9.46,0.07,1.01,-4.61,-7.95,-12.22,-0.81,"NA",3.34,"NA"
"1457","宜進",54.70,530.08,114.94,83.01,14.67,9.75,37.43,4.88,74.79,1.30,0.23,11.21,23.99,71.45,46.83,4.55,-13.33,27.34,-15.82
"1459","聯發",48.25,184.96,148.90,127.57,-768.29,10.94,33.36,6.19,58.96,0.90,0.33,-6.74,-14.14,-12.28,-22.65,-1.40,2.74,9.17,-0.33
"1460","宏遠",52.90,152.77,135.75,35.39,1.83,6.19,58.96,1.37,266.42,1.77,0.66,0.87,0.31,1.60,0.22,0.03,5.28,-2.20,2.47
"1463","強盛",17.82,525.73,386.21,271.65,0.00,5.80,62.93,1.14,320.17,1.08,0.18,2.59,2.99,5.02,13.89,0.42,37.58,109.98,2.20
