年別,登記/發生別,總計[人],男[人],女[人],按出生情形別/婚生[人],按出生情形別/非婚生[人],按出生情形別/無依兒童[人],按父母之年齡別/未滿20歲/父[人],按父母之年齡別/未滿20歲/母[人],按父母之年齡別/20~24/父[人],按父母之年齡別/20~24/母[人],按父母之年齡別/25~29/父[人],按父母之年齡別/25~29/母[人],按父母之年齡別/30~34/父[人],按父母之年齡別/30~34/母[人],按父母之年齡別/35~39/父[人],按父母之年齡別/35~39/母[人],按父母之年齡別/40~44/父[人],按父母之年齡別/40~44/母[人],按父母之年齡別/45歲以上/父[人],按父母之年齡別/45歲以上/母[人],按父母之年齡別/未詳/父[人],按父母之年齡別/未詳/母[人],按生母生育胎次別/第1胎[人],按生母生育胎次別/第2胎[人],按生母生育胎次別/第3胎[人],按生母生育胎次別/第4胎及以上[人],按生育胎生數別/單胞胎[人],按生育胎生數別/雙胞胎[人],按生育胎生數別/三胞胎以上[人],生父平均年齡[歲],生母平均年齡[歲],生母生育第1胎平均年齡[歲]
57年,按登記日期,40923,21191,19732,39502,1414,7,110,2574,2356,11749,12297,15459,10952,7378,7248,2819,4192,766,2600,171,1168,7,-,-,-,-,40757,166,-,-,-,-
57年,按發生日期,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58年,按登記日期,41667,21525,20142,40473,1164,30,280,3054,2401,11559,12198,15665,11650,7502,7310,2751,4165,822,2715,284,948,30,-,-,-,-,41525,139,3,-,-,-
58年,按發生日期,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59年,按登記日期,45078,23257,21821,43762,1292,24,208,3106,3595,13932,12818,15684,13200,8420,7257,2986,4160,697,2866,229,974,24,-,-,-,-,44923,155,-,-,-,-
59年,按發生日期,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60年,按登記日期,43542,22547,20995,42419,1097,26,258,2633,4460,14437,13084,14785,12665,8024,5692,2789,3686,630,2836,218,861,26,-,-,-,-,43390,151,1,-,-,-
60年,按發生日期,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61年,按登記日期,42252,21700,20552,41122,1077,53,174,2714,3980,14948,13925,14791,12738,7711,4748,1596,3140,363,2623,76,924,53,-,-,-,-,42087,162,3,29.64,26.54,-
61年,按發生日期,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
